City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Kodiak,US,57.79,-152.4072,52.47,98,100,10.07,light rain
80,Kavieng,PG,-2.5744,150.7967,81.57,80,46,11.88,scattered clouds
81,Albany,US,42.6001,-73.9662,79.03,53,86,5.01,overcast clouds
82,Marawi,PH,7.9986,124.2928,72.64,90,100,5.82,moderate rain
83,Suntar,RU,62.1444,117.6319,65.1,75,83,3.29,broken clouds
84,Chokurdakh,RU,70.6333,147.9167,38.39,80,67,7.38,broken clouds
85,Torbay,CA,47.6666,-52.7314,55.76,96,90,11.5,mist
86,Yulara,AU,-25.2406,130.9889,51.64,50,3,8.05,clear sky
87,Kribi,CM,2.95,9.9167,77.38,86,85,9.4,light rain
88,Qaanaaq,GL,77.484,-69.3632,44.67,66,64,4.41,broken clouds
89,Bathsheba,BB,13.2167,-59.5167,86.61,70,40,20.71,scattered clouds
90,Padang,ID,-0.9492,100.3543,77.05,84,66,2.86,broken clouds
91,Kurilsk,RU,45.2333,147.8833,57.54,90,100,6.62,overcast clouds
92,Weinan,CN,34.5036,109.5089,80.29,72,100,3.65,overcast clouds
93,Belmonte,BR,-15.8631,-38.8828,80.6,66,97,11.45,overcast clouds
94,Kadaya,RU,50.9327,119.2911,65.84,96,79,0.72,broken clouds
95,Giyani,ZA,-23.3025,30.7187,60.46,10,0,6.98,clear sky
96,Saeby,DK,57.3319,10.5225,71.96,61,2,11.59,clear sky
97,Richards Bay,ZA,-28.783,32.0377,62.44,33,31,14.9,scattered clouds
98,Bilibino,RU,68.0546,166.4372,54.39,47,100,3.38,overcast clouds
99,Muros,ES,42.7762,-9.0603,75.99,83,81,6.53,broken clouds
100,Borba,BR,-4.3878,-59.5939,97.09,36,8,3.04,clear sky
101,Olafsvik,IS,64.8945,-23.7142,52.32,97,100,15.48,overcast clouds
102,Yellowknife,CA,62.456,-114.3525,63.12,88,75,6.91,smoke
103,Sibolga,ID,1.7427,98.7792,77.27,83,75,3.38,broken clouds
104,Ouargaye,BF,11.5033,0.0572,89.1,46,78,7.05,broken clouds
